area,age_of_respondent,chronic_illness,nhif_usage,nssf_usage,most_important_life_goal,income_source,avg_mnth_income,hse_land_loan,securities_use,nearest_financial_prod,land_house_ownership,total_exp_per_month,electronic_device,motorvehicle_ownership,livestock_ownership,insurance,Clusters
Urban,17,No,Yes,No,Food,Casual_work,10000.0,No,No,MMoney,No,15000,Yes,No,False,Yes,0
Urban,72,No,Yes,No,Food,Family,5000.0,No,No,MMoney,No,5000,Yes,No,False,Yes,1
Urban,45,No,Yes,No,Business,Employment,10000.0,No,No,MMoney,No,8000,Yes,No,False,Yes,1
Urban,24,No,No,No,Food,Family,3000.0,No,No,MMoney,No,20000,Yes,Yes,False,No,0
Urban,40,No,No,No,Food,Business,5000.0,No,No,MMoney,No,20000,Yes,No,False,No,0
Urban,26,No,Yes,No,Education,Family,2000.0,No,No,MMoney,Yes,20000,Yes,No,False,Yes,0
Rural,19,No,No,No,Food,Casual_work,5000.0,No,No,MMoney,Yes,5000,Yes,No,False,No,1
Rural,65,No,No,No,Food,Agriculture,7000.0,No,No,MMoney,Yes,6000,No,No,False,No,1
Rural,33,No,No,No,Education,Agriculture,5000.0,No,No,MMoney,Yes,4000,No,No,False,No,1
Rural,46,No,No,No,Health,Employment,6000.0,No,No,MMoney,No,15000,No,No,False,No,1
Urban,17,Yes,No,No,Education,Family,500.0,No,No,MMoney,No,5000,No,No,False,No,1
Urban,23,No,Yes,No,Food,Casual_work,15000.0,No,No,MMoney,No,20000,No,No,False,Yes,0
Rural,31,No,No,No,Food,Business,15000.0,No,No,MMoney,No,30000,Yes,Yes,False,Yes,0
Rural,49,No,No,No,Food,Agriculture,3000.0,No,No,MMoney,Yes,2000,No,No,False,No,1
Rural,31,Yes,No,No,Food,Casual_work,1000.0,No,No,MMoney,Yes,10300,No,No,True,No,1
Urban,57,No,Yes,Yes,Business,Renting,5000.0,No,No,MMoney,Yes,4000,Yes,No,False,Yes,1
Urban,32,No,Yes,Yes,Business,Employment,7000.0,Yes,No,MMoney,No,15000,Yes,No,False,Yes,0
Rural,30,Yes,No,No,Food,Family,9872.0,No,No,MMoney,No,8000,No,No,False,No,1
Urban,23,No,Yes,No,Career,Family,9872.0,No,No,MMoney,No,50000,Yes,No,False,Yes,0
Rural,40,No,No,No,Business,Casual_work,4000.0,No,Yes,MMoney,No,9000,No,No,False,No,1
Urban,18,Yes,No,No,Education,Family,1000.0,No,No,MMoney,No,10000,Yes,No,False,No,1
Urban,42,No,Yes,No,Food,Family,10000.0,No,No,MMoney,No,10000,Yes,No,False,Yes,1
Urban,42,No,Yes,No,Health,Employment,25000.0,No,No,MMoney,Yes,1800,Yes,No,False,Yes,1
Urban,56,No,Yes,Yes,Business,Business,3000.0,No,No,MMoney,No,7000,Yes,No,False,Yes,1
Rural,60,Yes,Yes,No,Food,Casual_work,1000.0,No,No,MMoney,Yes,7000,No,No,False,Yes,1
Urban,23,No,No,Yes,Education,Family,6000.0,No,No,MMoney,No,6000,Yes,No,False,Yes,1
Rural,17,Yes,No,No,Food,Agriculture,3000.0,No,No,MMoney,Yes,6000,No,No,True,No,1
Urban,40,Yes,Yes,Yes,Food,Business,3000.0,No,No,MMoney,No,20000,No,No,False,Yes,0
Urban,52,No,No,No,Health,Casual_work,24000.0,No,No,MMoney,Yes,18000,No,No,True,Yes,0
Urban,27,No,No,No,Food,Casual_work,6000.0,No,No,MMoney,No,14000,No,No,False,No,1
Rural,32,No,No,No,Food,Business,2000.0,No,No,MMoney,Yes,8000,No,No,False,Yes,1
Urban,28,No,No,No,Health,Casual_work,12000.0,No,No,MMoney,No,10000,Yes,No,False,No,1
Rural,58,Yes,No,No,Education,Agriculture,3000.0,No,No,MMoney,Yes,6000,No,No,True,No,1
Urban,64,Yes,No,No,Food,Renting,5000.0,Yes,Yes,MMoney,Yes,15000,Yes,No,False,Yes,1
Rural,38,No,Yes,Yes,Food,Agriculture,1500.0,No,No,MMoney,Yes,5000,No,No,False,Yes,1
Urban,37,No,No,No,Business,Business,9872.0,No,No,MMoney,No,10000,No,Yes,False,No,1
Urban,20,No,No,No,Home,Casual_work,10000.0,No,Yes,MMoney,No,6000,Yes,No,False,No,1
Urban,23,No,No,No,Food,Casual_work,7000.0,No,No,MMoney,No,5000,No,No,False,No,1
Rural,45,No,No,No,Food,Business,9000.0,No,No,MMoney,No,15000,No,No,False,Yes,1
Rural,56,No,Yes,No,Food,Employment,40000.0,Yes,No,MMoney,Yes,20000,Yes,Yes,False,Yes,0
Rural,27,No,Yes,Yes,Business,Business,9872.0,No,No,MMoney,Yes,7500,No,Yes,True,Yes,1
Rural,75,Yes,Yes,No,Health,Agriculture,5000.0,No,No,MMoney,No,5000,No,No,False,Yes,1
Rural,30,No,No,No,Career,Casual_work,1000.0,No,No,MMoney,Yes,1000,No,No,True,No,1
Rural,56,No,No,No,Food,Casual_work,3000.0,No,No,MMoney,Yes,2500,No,No,True,No,1
Rural,36,No,No,No,Education,Business,1000.0,No,No,MMoney,Yes,10000,Yes,Yes,False,Yes,1
Urban,21,No,No,No,Education,Casual_work,15000.0,No,No,MMoney,No,8000,No,No,False,No,1
Rural,51,No,No,No,Food,Casual_work,1500.0,No,No,MMoney,No,1600,No,No,False,No,1
Urban,49,No,No,No,Food,Agriculture,20000.0,No,No,MMoney,Yes,10000,Yes,No,False,Yes,0
Urban,26,No,No,No,Food,Family,3000.0,No,No,MMoney,No,10000,No,No,False,Yes,1
Rural,48,No,Yes,No,Health,Agriculture,10000.0,No,No,MMoney,No,6000,No,No,False,Yes,1
Rural,73,No,No,No,Education,Agriculture,9872.0,No,No,MMoney,No,6000,No,No,False,Yes,1
Urban,22,No,No,No,Education,Casual_work,10000.0,No,No,MMoney,No,8000,No,No,False,No,1
Urban,46,No,Yes,No,Education,Casual_work,10000.0,No,No,MMoney,Yes,6000,No,No,False,Yes,1
Rural,40,Yes,No,No,Education,Casual_work,9872.0,No,No,MMoney,No,8000,No,No,False,No,1
Rural,31,No,No,No,Food,Business,3600.0,No,No,MMoney,No,3400,No,No,False,Yes,1
Rural,62,Yes,No,No,Health,Agriculture,10000.0,No,No,MMoney,Yes,10000,No,No,False,No,1
Rural,36,No,Yes,No,Education,Casual_work,20000.0,No,No,MMoney,Yes,20000,Yes,No,False,Yes,0
Urban,59,Yes,No,No,Home,Renting,10000.0,Yes,No,MMoney,Yes,11000,Yes,No,False,No,1
Urban,27,No,Yes,Yes,Food,Agriculture,9872.0,No,No,Bank,No,12000,No,No,False,Yes,1
Rural,28,No,No,No,Food,Casual_work,4800.0,No,No,MMoney,Yes,5000,No,No,True,No,1
Urban,28,No,No,No,Career,Casual_work,6000.0,No,Yes,MMoney,No,8000,No,No,False,Yes,1
Urban,41,No,Yes,No,Education,Casual_work,6000.0,No,No,Bank,No,3000,Yes,No,False,Yes,1
Rural,67,No,Yes,No,Health,Agriculture,6000.0,No,No,MMoney,Yes,6000,No,No,True,Yes,1
Urban,69,No,No,No,Health,Family,1000.0,No,No,MMoney,Yes,5000,Yes,No,False,Yes,1
